hid;bez;lat;lng;coordinate
10067;S Oberspree (Berlin);52.452.269.000.000;13.538.461.000.000;010100000050FF59F3E3394A40C9570229B1132B40
10068;S Olympiastadion (Berlin);52.511.135.000.000;13.241.111.000.000;0101000000A56B26DF6C414A406669A7E6727B2A40
10069;S Oranienburger Str. (Berlin);52.525.161.000.000;13.393.068.000.000;01010000003C11C47938434A4050357A3540C92A40
10070;S Osdorfer Str. (Berlin);52.418.373.000.000;13.313.865.000.000;0101000000C443183F8D354A40D4B7CCE9B2A02A40
10071;S Ostbahnhof (Berlin);52.510.001.000.000;13.435.747.000.000;0101000000B2F677B647414A4004A9143B1ADF2A40
10072;S Ostbahnhof/Erich-Steinfurth-Str. (Berlin);52.510.507.000.000;13.437.045.000.000;010100000085B01A4B58414A40B9C2BB5CC4DF2A40
10073;S Ostkreuz Bhf (Berlin);52.502.851.000.000;13.469.093.000.000;010100000065E1EB6B5D404A40A8902BF52CF02A40
10074;S Pankow-Heinersdorf (Berlin);52.577.603.000.000;13.429.090.000.000;0101000000278925E5EE494A40CF143AAFB1DB2A40
10075;S Pichelsberg (Berlin);52.510.264.000.000;13.227.196.000.000;0101000000BF29AC5450414A406490BB0853742A40
10076;S Plänterwald (Berlin);52.478.722.000.000;13.474.029.000.000;010100000017F032C3463D4A400FB6D8EDB3F22A40
10077;S Poelchaustr. (Berlin);52.534.751.000.000;13.536.008.000.000;01010000006C4084B872444A40EBC9FCA36F122B40
10078;S Potsdamer Platz Bhf/Voßstr. (Berlin);52.510.147.000.000;13.376.656.000.000;01010000008693347F4C414A4032AF230ED9C02A40
10079;S Prenzlauer Allee (Berlin);52.544.802.000.000;13.427.419.000.000;0101000000CF656A12BC454A40C860C5A9D6DA2A40
10080;S Priesterweg (Berlin);52.459.239.000.000;13.356.028.000.000;01010000001C06F357C83A4A40ABEB504D49B62A40
10081;S Rahnsdorf (Berlin);52.451.371.000.000;13.691.655.000.000;010100000071AE6186C6394A40D23AAA9A20622B40
10082;S Raoul-Wallenberg-Str. (Berlin);52.550.749.000.000;13.548.392.000.000;010100000001A777F17E464A40ACC612D6C6182B40
10083;S Rathaus Steglitz (Berlin);52.455.961.000.000;13.322.473.000.000;010100000030A017EE5C3A4A409FAF592E1BA52A40
10084;S Rummelsburg (Berlin);52.501.213.000.000;13.478.699.000.000;01010000003FAA61BF27404A407D410B0918F52A40
10085;S Savignyplatz (Berlin);52.505.223.000.000;13.319.003.000.000;0101000000F017B325AB404A40DBA6785C54A32A40
10086;S Schichauweg (Berlin);52.398.563.000.000;13.389.457.000.000;0101000000A532C51C04334A4084656CE866C72A40
10087;S Schlachtensee (Berlin);52.439.806.000.000;13.213.986.000.000;0101000000D34A21904B384A408D9AAF928F6D2A40
10088;S Schulzendorf (Berlin);52.613.513.000.000;13.245.630.000.000;0101000000DE550F98874E4A403DD52137C37D2A40
10089;S Schöneberg (Berlin);52.479.811.000.000;13.352.848.000.000;01010000006AA164726A3D4A4003EB387EA8B42A40
10090;S Schöneweide Bhf (Berlin);52.454.611.000.000;13.510.149.000.000;010100000070B378B1303A4A40992CEE3F32052B40
